objectid,file name,title,creator,difficulty level,materials used,subject,techniques used,jewelry type,file,identifier,type,format,file size,rights,rights statement
cr001,cr_001.jpg,Blue_Aventurine_Heart,"Brown, Linda",Intermediate,"Blue aventurine crystal gem, soft copper, Jewelry pliers",Necklace; Blue Aventurine; handmade,"Handmade using skill of wrapping copper wire around crystal gemstone, wrapping the Blue Aventurine into shape. Molding heart shape onto front of piece.",Necklace,CR_001,CR-001,Image;StillImage,Image/jpeg,218 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr002,cr_002.jpg,Blue_Calcite_Hoops,"Brown, Linda",Hard,"Silver plated copper, Calcite, Hand drill, Blue Calcite crystal gemstone, Jewelry pliers",Earrings; Blue Calcite; Handmade,"Handmade using skill of wrapping through crystal gemstone after drilling hole, threading crystal into shape of hoop.",Earrings,CR_002,CR-002,Image;StillImage,Image/jpeg,232 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr003,cr_003.jpg,Carnelian_Heart,"Brown, Linda",Intermediate,"Soft copper wire, gold plated copper, brown nylon cord, Carnelian crystal gemstone, Jewelry pliers",Necklace; Carnelian; Handmade; Intermediate,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Twisting copper wire together along surface of front of piece.",Necklace,CR_003,CR-003,Image;StillImage,Image/jpeg,309 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr004,cr_004.jpg,Citrine_Earrings,"Brown, Linda",Easy,"Soft copper wire, bronze plated copper, Citrine crystal gemstone, Jewelry pliers",Earrings; Citrine; Easy,"Handmade using skill of wrapping around crystal gemstone in a upward sprial technique, wrapping crystal into shape.",Earrings,CR_004,CR-004,Image;StillImage,Image/jpeg,146 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr005,cr_005.jpg,Citrine_Necklace,"Brown, Linda",Hard,"Soft copper wire, gold plated copper, Citrine crystal gemstone, Jewelry pliers",Necklace; Citrine; Hard; Handmade,"Handmade using skill of wrapping around crystal gemstone, creating copper loops to link and create wire chain. Next, start wrapping crystal gemstone with copper around the edge. Then weaved the gold plated copper as reinforcement along citrine piece.",Necklace,CR_005,CR-005,Image;StillImage,Image/jpeg,348 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr006,cr_006.jpg,Clear_Quartz_Heart,"Brown, Linda",Intermediate,"Silver plated copper wire, gold plated copper wire, Clear Quartz crystal gemstone, Jewelry pliers",Necklace; Clear Quartz; Intermediate,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Twisting copper wire together around surface of front of piece to create frame of heart.",Necklace,CR_006,CR-006,Image;StillImage,Image/jpeg,168 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr007,cr_007.jpg,Clear_Quartz_Ring,"Brown, Linda",Intermediate,"Silver plated copper wire, , Clear Quartz crystal gemstone, Ring Sizer, Jewelry pliers",Ring; Clear Quartz; Intermediate,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Centering the Clear Quartz within the silver plated copper. Next, using ring sizer to appropriate size to complete ring. Wrapping silver plated copper around band of ring to secure size and form.",Ring,CR_007,CR-007,Image;StillImage,Image/jpeg,308 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr008,cr_008.jpg,Emerald_Necklace,"Brown, Linda",Intermediate,"Soft copper wire, gold plated copper, brown nylon cord, Emerald crystal gemstone, Jewelry pliers",Necklace; Emerald; Easy,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Twisting copper wire together along surface of front of piece.",Necklace,CR_008,CR-008,Image;StillImage,Image/jpeg,160 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr009,cr_009.jpg,Garnet_Heart,"Brown, Linda",Hard,"Soft copper wire, gold plated copper, Garnet crystal gemstone, Jewelry pliers",Necklace; Garnet; Hard; Handmade,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Twisting copper wire together around surface of front of piece to create Heart frame aroud the Garnet piece, using more gold plated copper to secure Garnet in center.",Necklace,CR_009,CR-009,Image;StillImage,Image/jpeg,868 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr010,cr_010.jpg,Garnet_Necklace,"Brown, Linda",Hard,"Soft copper wire, Black plated copper, Garnet crystal gemstone, Jewelry pliers",Necklace; Garnet; Hard; Handmade,"Handmade using skill of wrapping around crystal gemstone, creating copper loops to link and create wire chain. wrapping crystal gemstone with copper around the edge and other sides of Garnet. Then weaved the black plated copper as reinforcement along Garnet piece.",Necklace,CR_010,CR-010,Image;StillImage,Image/jpeg,303 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr011,cr_011.jpg,Lapis_Lazuli_Necklace,"Brown, Linda",Intermediate,"Soft copper wire, gold plated copper, brown nylon cord, Lapis Lazuli crystal gemstones, Jewelry pliers",Necklace; Lapis Lazuli; Intermediate,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Then using more copper wire the two Lapis Lazuli pieces are connected using pliers.",Necklace,CR_011,CR-011,Image;StillImage,Image/jpeg,1.6 MB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr012,cr_012.jpg,Moldavite_Necklace,"Brown, Linda",Easy,"hematite wire, gold plated copper, Moldavite crystal gemstone, Jewelry pliers",Necklace; Handmade; Moldavite;Easy,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape. Using gold plated copper to create frame, then using Hematite wire to secure Moldavite into frame.",Necklace,CR_012,CR-012,Image;StillImage,Image/jpeg,221 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr013,cr_013.jpg,Pink_Tourmaline_Necklace,"Brown, Linda",Easy,"Soft copper wire, brown nylon cord, Pink Tourmaline crystal gemstone, Jewelry pliers",Necklace; Pink Tourmaline; Easy,"Handmade using skill of wrapping around crystal gemstone, wrapping crystal into shape in a spiral frame.",Necklace,CR_013,CR-013,Image;StillImage,Image/jpeg,155 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr014,cr_014.jpg,Rose_Quartz_Necklace,"Brown, Linda",Easy,"Silver plated copper, Rose Quartz crystal gemstone, Jewelry pliers",Necklace; Rose Quartz; Easy,"Handmade using skill of wrapping silver plated copper around Rose Quartz piece firmly, wrapping crystal into secure positioning, ending with a loop at the top for threading.",Necklace,CR_014,CR-014,Image;StillImage,Image/jpeg,161 KB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr015,cr_015.jpg,Tiger's_Eye_Choker,"Brown, Linda",Easy,"Black plated copper, Black necklace cord, Tiger's Eye crystal gemstone, Jewelry pliers",Necklace; Tiger's Eye; Easy,"Handmade using the skill of wrapping black plated copper around the Tiger's Eye piece, wrapping the crystal into position with a loop at the top for threading.",Necklace,CR_015,CR-015,Image;StillImage,Image/jpeg,1.1 MB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
cr016,cr_016.jpg,Tiger's_Eye_Necklace,"Brown, Linda",Hard,"Soft copper wire, gold plated copper, Tiger's Eye crystal gemstone, Jewelry pliers",Necklace; Tiger's Eye; Hard,"Handmade using skill of wrapping copper wire around crystal gemstone, creating copper double loops to link and create wire chain. Proceed with wrapping crystal gemstone with copper around the edge. Then weaved the gold plated copper as reinforcement along Tiger's Eye piece.",Necklace,CR_016,CR-016,Image;StillImage,Image/jpeg,1.6 MB,Any Images may be used for educational purposes only. All rights belong to the designer of pieces used.,http://rightsstatements.org/vocab/NoC-US/1.0/
